Kode	Uraian	Satuan	 Harga 
M.145	HB-15	Buah	 Rp33,200 
M.146	HB-20	Buah	 Rp37,000 
M.147	Jendela Nako (Rangka + Kaca 5mm. Lebar 15cm)	Buah	 Rp245,400 
M.148	Jendela Nako Rangka Aluminium (Rangka + Kaca 5mm)	m2	 Rp525,100 
M.149	Karpet	m2	 Rp423,000 
M.150	Keramik Artistik Uk. 8x8cm	Buah	 Rp1,600 
M.151	Keramik Artistik Uk. 10x10cm	Buah	 Rp2,900 
M.152	Keramik Artistik Uk. 10x20cm	Buah	 Rp5,400 
M.153	Keramik Artistik Uk. 20x20cm	Buah	 Rp8,900 
M.154	Keramik Artistik Uk. 30x30cm	Buah	 Rp25,000 
M.155	Keramik Artistik Uk. 40x40cm	Buah	 Rp55,600 
M.156	Keramik Uk. 10x20cm	Buah	 Rp4,600 
M.157	Keramik Uk. 20x20cm	Buah	 Rp8,300 
M.158	Keramik Uk. 30x30cm	Buah	 Rp20,300 
M.159	Keramik Uk. 40x40cm	Buah	 Rp41,900 
M.160	Lantai UPVC Decking	m2	 Rp491,600 
M.161	List kayu 2x4cm	m3	 Rp4,081,000 
M.162	List Kayu Profil	m1	 Rp52,300 
M.163	List Gypsum	m1	 Rp32,000 
M.164	Marmer Uk. 100x100cm	Buah	 Rp364,700 
M.165	Marmer Graphir Uk. 10x10cm	Buah	 Rp58,700 
M.166	Marmer Graphir Uk. 12x12cm	Buah	 Rp71,400 
M.167	Material Insulasi Foam	m2	 Rp172,300 
M.168	Melamic	Kg	 Rp57,400 
M.169	Nok Genteng Aspal	Buah	 Rp84,900 
M.170	Nok Genteng Beton	Buah	 Rp70,900 
M.171	Nok Genteng Metal Panjang 100cm	Buah	 Rp125,400 
M.172	Nok Paten 92cm	Lbr	 Rp104,900 
M.173	Nok Paten 105cm	Lbr	 Rp127,000 
M.174	Nok Paten 108cm	Lbr	 Rp153,600 
M.175	Nok Setel rata 92cm	Lbr	 Rp147,400 
M.176	Nok Setel Rata 105cm	Lbr	 Rp178,400 
M.177	Nok Setel Rata 108cm	Lbr	 Rp215,800 
M.178	Nok Standar	 Buah 	 Rp57,400 
M.179	Nok Standar	Lbr	 Rp57,400 
M.180	Parquet Kayu	m2	 Rp353,100 
M.181	Paving Block Tebal 6cm f'c 20 MPa	m2	 Rp117,500 
M.182	Paving Block Tebal 6cm f'c 25 MPa	m2	 Rp130,400 
M.183	Paving Block Tebal 8cm f'c 20 MPa	m2	 Rp139,600 
M.184	Paving Block Tebal 8cm f'c 25 MPa	m2	 Rp152,300 
M.185	Pen Akrilik dan Baut	Buah	 Rp21,000 
M.186	Pintu Double Teakwood Rangka Kayu	m2	 Rp542,000 
M.187	Pintu Lipat	m2	 Rp621,700 
M.188	Plint Homogeneous Tile Uk. 10 sd 15cm x 30cm	Buah	 Rp20,200 
M.189	Plint Homogeneous Tile Uk. 10 sd 15cm x 40cm	Buah	 Rp42,300 
M.190	Plint Homogeneous Tile Uk. 10 sd 15cm x 60cm	Buah	 Rp111,400 
M.191	Plint Internal Cove	Buah	 Rp25,300 
M.192	Plint Keramik Uk. 20cm	Buah	 Rp2,200 
M.193	Plint Keramik Uk. 30cm	Buah	 Rp4,100 
M.194	Plint Keramik Uk. 40cm	Buah	 Rp10,200 
M.195	Plint Keramik Uk. 60cm	Buah	 Rp20,900 
M.196	Plint Teralux Marmer Uk. 30cm	Buah	 Rp16,900 
M.197	Plint Teralux Marmer Uk. 40cm	Buah	 Rp40,500 
M.198	Plint Teralux Marmer Uk. 60cm	Buah	 Rp104,500 
M.199	Plint Ubin Granit Uk. 30cm	Buah	 Rp27,900 
M.200	Plint Ubin Granit Uk. 40cm	Buah	 Rp46,600 
M.201	Plint Ubin Granit Uk. 60cm	Buah	 Rp74,100 
M.202	Plint Ubin PC Abu-abu Uk. 20cm	Buah	 Rp4,800 
M.203	Plint Ubin PC Abu-abu Uk. 30cm	Buah	 Rp7,200 
M.204	Plint Ubin PC Abu-abu Uk. 40cm	Buah	 Rp10,700 
M.205	Plint Ubin PC Abu-abu Uk. 60cm	Buah	 Rp20,700 
M.206	Plint Ubin Teraso Uk. 30cm	Buah	 Rp41,400 
M.207	Plint Ubin Teraso Uk. 40cm	Buah	 Rp62,900 
M.208	Profil Alum ”T”	m1	 Rp30,800 
M.209	Ubin Abu-abu Uk. 20x20cm	Buah	 Rp9,500 
M.210	Ubin Abu-abu Uk. 30x30cm	Buah	 Rp14,600 
M.211	Ubin Abu-abu Uk. 40x40cm	Buah	 Rp21,500 
