1.1.3.1	Pek. 1 m2 Pembersihan & Pengupasan Permukaan Tanah (Striping) sd Tanaman ∅ 2cm					
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 206,039.80 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 206,039.80 
						
						
2.2.1.3.4	Pek. Pemasangan 1 m2 Bekisting untuk Kolom (3 Kali Pakai)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	 L.01	OH	0.6600	 152,900.00 	 100,914.00 
	 Tukang Kayu	 L.02	OH	0.3300	 178,600.00 	 58,938.00 
	 Kepala Tukang	 L.03	OH	0.0330	 204,300.00 	 6,741.90 
	 Mandor	 L.04	OH	0.0110	 230,000.00 	 2,530.00 
				 JUMLAH HARGA TENAGA KERJA		 169,123.90 
B	 BAHAN					  
	 Paku 5 - 12cm	M.59	Kg	0.400	 31,100.00 	 12,440.00 
	 Minyak Bekisting	M.81	Ltr	0.200	 15,900.00 	 3,180.00 
	 Balok Kayu Kelas II	M.388	m3	0.00465	 8,504,700.00 	 39,546.86 
	 Plywood Tebal 12mm	M.90	Lbr	0.12705	 409,300.00 	 52,001.57 
	 Dolken Kayu 8/10cm Panjang 4m	M.15	Btg	0.650	 34,300.00 	 22,295.00 
				 JUMLAH HARGA BAHAN		 129,463.42 
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 298,587.32 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 298,587.32 
						
						
2.2.1.3.8	Pek. Pemasangan 1 m2 Bekisting untuk Tangga (3 Kali Pakai)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	 L.01	OH	0.6600	 152,900.00 	 100,914.00 
	 Tukang Kayu	 L.02	OH	0.3300	 178,600.00 	 58,938.00 
	 Kepala Tukang	 L.03	OH	0.0330	 204,300.00 	 6,741.90 
	 Mandor	 L.04	OH	0.0110	 230,000.00 	 2,530.00 
				 JUMLAH HARGA TENAGA KERJA		 169,123.90 
B	 BAHAN					  
	 Paku 5 - 10cm	M.58	Kg	0.400	 31,100.00 	 12,440.00 
	 Minyak Bekisting	M.81	Ltr	0.150	 15,900.00 	 2,385.00 
	 Balok Kayu Kelas II	M.388	m3	0.00500	 8,504,700.00 	 42,523.50 
	 Plywood Tebal 12mm	M.90	Lbr	0.12700	 409,300.00 	 51,981.10 
	 Dolken Kayu 8/10cm Panjang 4m	M.15	Btg	0.650	 34,300.00 	 22,295.00 
				 JUMLAH HARGA BAHAN		 131,624.60 
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 300,748.50 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 300,748.50 
						
						
3.6.1.10	Pek. Pemasangan 1 m2 Dinding Bata Merah Tebal ½ Batu Campuran 1SP : 6PP					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	0.2000	 152,900.00 	 30,580.00 
	 Tukang	L.02	OH	0.1000	 178,600.00 	 17,860.00 
	 Kepala Tukang	L.03	OH	0.0100	 204,300.00 	 2,043.00 
	 Mandor	L.04	OH	0.0033	 230,000.00 	 759.00 
				 JUMLAH HARGA TENAGA KERJA		 51,242.00 
B	 BAHAN					  
	 Bata Merah	M.35	Buah	71.910	 1,200.00 	 86,292.00 
	 Semen Portland	M.33	Kg	8.320	 1,600.00 	 13,312.00 
	 Pasir Pasang	M.28	m3	0.049	 149,200.00 	 7,310.80 
				 JUMLAH HARGA BAHAN		 106,914.80 
C	 PERALATAN					  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 158,156.80 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 158,156.80 
						
2.2.1.3.5	Pek. Pemasangan 1 m2 Bekisting untuk Balok (3 Kali Pakai)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	 L.01	OH	0.6600	 152,900.00 	 100,914.00 
	 Tukang Kayu	 L.02	OH	0.3300	 178,600.00 	 58,938.00 
	 Kepala Tukang	 L.03	OH	0.0330	 204,300.00 	 6,741.90 
	 Mandor	 L.04	OH	0.0110	 230,000.00 	 2,530.00 
				 JUMLAH HARGA TENAGA KERJA		 169,123.90 
B	 BAHAN					  
	 Paku 5   12cm	M.59	Kg	0.400	 31,100.00 	 12,440.00 
	 Minyak Bekisting	M.81	Ltr	0.200	 15,900.00 	 3,180.00 
	 Balok Kayu Kelas II	M.388	m3	0.00558	 8,504,700.00 	 47,456.23 
	 Plywood Tebal 12mm	M.90	Lbr	0.12705	 409,300.00 	 52,001.57 
	 Dolken Kayu 8/10cm Panjang 4m	M.15	Btg	0.650	 34,300.00 	 22,295.00 
				 JUMLAH HARGA BAHAN		 137,372.79 
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 306,496.69 
E	 Biaya Umum dan Keuntungan  (10%   15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 306,496.69 
						
						
